latitude,longitude,bright_ti4,frp,confidence,datetime
-33.98096,115.52746,354.51,8.0,nominal,2024-01-17 06:20:00
-33.98375,115.51249,354.7,22.53,nominal,2024-01-17 06:20:00
-33.98466,115.50755,352.93,22.53,nominal,2024-01-17 06:20:00
-33.98558,115.50259,335.27,6.47,nominal,2024-01-17 06:20:00
-33.34793,116.0761,333.49,13.91,nominal,2024-01-17 06:20:00
-33.34895,116.07076,341.6,13.91,nominal,2024-01-17 06:20:00
-33.34422,116.07513,336.32,13.91,nominal,2024-01-17 06:20:00
-33.34525,116.06978,347.74,13.91,nominal,2024-01-17 06:20:00
-33.34154,116.06881,339.47,11.0,nominal,2024-01-17 06:20:00
-32.60628,117.43519,343.81,16.89,nominal,2024-01-17 06:20:00
-32.60715,117.43098,348.15,18.64,nominal,2024-01-17 06:20:00
-32.60314,117.42986,342.2,18.64,nominal,2024-01-17 06:20:00
-32.72524,116.58003,336.27,64.75,nominal,2024-01-17 06:20:00
-32.72253,116.57321,336.75,64.75,low,2024-01-17 06:20:00
-32.71762,116.57772,355.35,13.94,nominal,2024-01-17 06:20:00
-32.71872,116.5721,338.2,13.94,nominal,2024-01-17 06:20:00
-32.71379,116.57663,343.3,13.94,nominal,2024-01-17 06:20:00
-30.457,115.34627,337.12,8.59,low,2024-01-17 06:20:00
-30.45411,115.34322,337.35,6.47,low,2024-01-17 06:20:00
-34.03859,115.52502,340.76,98.22,nominal,2024-01-17 06:20:00
-34.03501,115.52404,343.88,118.42,nominal,2024-01-17 06:20:00
-34.03235,115.51818,367.0,118.42,high,2024-01-17 06:20:00
-34.02958,115.53292,339.68,10.5,nominal,2024-01-17 06:20:00
-34.03143,115.52309,342.6,118.42,nominal,2024-01-17 06:20:00
-34.03327,115.51329,333.47,7.88,nominal,2024-01-17 06:20:00
-34.03477,115.52116,367.0,322.74,high,2024-01-17 06:20:00
-34.02847,115.535,355.61,174.54,nominal,2024-01-17 06:20:00
-34.02938,115.53001,355.15,174.54,nominal,2024-01-17 06:20:00
-34.03209,115.51527,337.57,77.03,nominal,2024-01-17 06:20:00
-34.03119,115.5202,367.0,142.24,low,2024-01-17 06:20:00
-34.02489,115.53404,367.0,174.54,high,2024-01-17 06:20:00
-34.0203,115.55898,342.51,40.75,nominal,2024-01-17 06:20:00
-34.02396,115.53904,351.03,17.85,nominal,2024-01-17 06:20:00
-34.0258,115.52907,367.0,174.54,low,2024-01-17 06:20:00
-34.02761,115.51922,367.0,142.24,low,2024-01-17 06:20:00
-34.02852,115.51429,367.0,77.03,low,2024-01-17 06:20:00
-34.02038,115.5381,367.0,201.67,high,2024-01-17 06:20:00
-34.02313,115.52314,367.0,90.09,high,2024-01-17 06:20:00
-34.01671,115.55806,341.85,45.49,nominal,2024-01-17 06:20:00
-34.02494,115.51332,347.31,33.7,nominal,2024-01-17 06:20:00
-34.0213,115.53309,367.0,366.98,low,2024-01-17 06:20:00
-34.02222,115.5281,367.0,366.98,low,2024-01-17 06:20:00
-34.02404,115.51824,367.0,90.09,low,2024-01-17 06:20:00
-34.01955,115.52216,367.0,90.09,high,2024-01-17 06:20:00
-34.02136,115.51234,367.0,33.7,high,2024-01-17 06:20:00
-34.02319,115.50237,367.0,16.61,high,2024-01-17 06:20:00
-34.02411,115.49739,367.0,16.61,high,2024-01-17 06:20:00
-34.02501,115.49246,367.0,19.61,high,2024-01-17 06:20:00
-34.01587,115.54214,350.89,201.67,nominal,2024-01-17 06:20:00
-34.02045,115.51726,352.79,90.09,nominal,2024-01-17 06:20:00
-34.02228,115.50735,346.48,33.7,nominal,2024-01-17 06:20:00
-34.01772,115.53214,367.0,366.98,low,2024-01-17 06:20:00
-34.01863,115.52715,367.0,366.98,low,2024-01-17 06:20:00
-34.01505,115.52619,367.0,239.1,high,2024-01-17 06:20:00
-34.01778,115.51135,367.0,25.92,high,2024-01-17 06:20:00
-34.0187,115.50636,367.0,25.92,high,2024-01-17 06:20:00
-34.02053,115.49641,367.0,30.86,high,2024-01-17 06:20:00
-34.01688,115.51627,349.88,65.87,nominal,2024-01-17 06:20:00
-34.01962,115.50137,355.47,30.86,nominal,2024-01-17 06:20:00
-34.02144,115.49149,356.32,24.71,nominal,2024-01-17 06:20:00
-34.02234,115.48659,338.9,24.71,nominal,2024-01-17 06:20:00
-34.01229,115.54119,367.0,0.0,low,2024-01-17 06:20:00
-34.01321,115.53619,367.0,0.0,low,2024-01-17 06:20:00
-34.01413,115.5312,367.0,239.1,low,2024-01-17 06:20:00
-34.01597,115.5212,367.0,65.87,low,2024-01-17 06:20:00
-34.00871,115.54021,367.0,0.0,high,2024-01-17 06:20:00
-34.01147,115.52522,367.0,239.1,high,2024-01-17 06:20:00
-34.01421,115.51035,367.0,25.92,high,2024-01-17 06:20:00
-34.01513,115.50537,367.0,25.92,high,2024-01-17 06:20:00
-34.01604,115.50041,367.0,30.86,high,2024-01-17 06:20:00
-34.00778,115.54523,342.6,13.52,nominal,2024-01-17 06:20:00
-34.0133,115.5153,352.82,65.87,nominal,2024-01-17 06:20:00
-34.01696,115.49545,356.61,30.86,nominal,2024-01-17 06:20:00
-34.01786,115.49055,353.71,24.71,nominal,2024-01-17 06:20:00
-34.00963,115.53522,367.0,0.0,low,2024-01-17 06:20:00
-34.01055,115.53022,367.0,239.1,low,2024-01-17 06:20:00
-34.01239,115.52023,367.0,65.87,low,2024-01-17 06:20:00
-34.00512,115.53923,367.0,373.69,high,2024-01-17 06:20:00
-34.00605,115.53422,367.0,373.69,high,2024-01-17 06:20:00
-34.00697,115.52922,367.0,203.66,high,2024-01-17 06:20:00
-34.00789,115.52425,367.0,203.66,high,2024-01-17 06:20:00
-34.01155,115.5044,367.0,23.46,high,2024-01-17 06:20:00
-21.58112,120.23108,345.76,22.43,nominal,2024-01-17 06:22:00
-21.58006,120.23567,356.55,17.92,low,2024-01-17 06:22:00
-21.57206,120.24324,349.97,17.46,nominal,2024-01-17 06:22:00
-21.57313,120.23862,335.49,8.62,nominal,2024-01-17 06:22:00
-21.56723,120.23701,340.26,8.62,nominal,2024-01-17 06:22:00
-21.54729,120.24197,341.14,15.22,nominal,2024-01-17 06:22:00
-21.54948,120.23251,354.21,29.64,nominal,2024-01-17 06:22:00
-21.54838,120.23726,356.76,15.22,low,2024-01-17 06:22:00
-21.54138,120.2404,349.19,15.22,nominal,2024-01-17 06:22:00
-21.54248,120.23564,347.7,15.22,nominal,2024-01-17 06:22:00
-21.54027,120.24516,356.95,18.84,low,2024-01-17 06:22:00
-21.53548,120.23878,334.87,8.64,nominal,2024-01-17 06:22:00
-21.68387,121.70802,331.64,2.39,nominal,2024-01-17 06:22:00
-21.68811,121.69079,342.55,9.31,nominal,2024-01-17 06:22:00
-21.68953,121.68507,354.08,9.31,nominal,2024-01-17 06:22:00
-21.69094,121.67933,338.65,40.06,nominal,2024-01-17 06:22:00
-21.69376,121.66787,350.86,196.35,nominal,2024-01-17 06:22:00
-21.86878,120.94978,339.65,7.29,nominal,2024-01-17 06:22:00
-21.69517,121.66217,207.38,196.35,low,2024-01-17 06:22:00
-21.9059,120.96246,339.38,12.09,nominal,2024-01-17 06:22:00
-21.67798,121.90311,367.0,18.74,high,2024-01-17 06:22:00
-21.57902,120.24023,338.47,17.92,nominal,2024-01-17 06:22:00
-21.66162,121.94274,367.0,27.44,high,2024-01-17 06:22:00
-21.66303,121.93685,346.44,21.12,nominal,2024-01-17 06:22:00
-21.66586,121.92501,332.59,9.22,nominal,2024-01-17 06:22:00
-21.6687,121.91317,336.21,8.42,nominal,2024-01-17 06:22:00
-21.88905,120.97907,342.04,10.21,nominal,2024-01-17 06:22:00
-21.89026,120.97385,341.33,12.78,nominal,2024-01-17 06:22:00
-22.70289,117.21028,347.01,46.77,nominal,2024-01-17 06:22:00
-21.69611,121.68414,367.0,14.88,high,2024-01-17 06:22:00
-21.69748,121.67838,341.89,14.88,nominal,2024-01-17 06:22:00
-21.70023,121.6669,337.35,140.41,nominal,2024-01-17 06:22:00
-21.86934,120.95216,337.27,5.78,nominal,2024-01-17 06:22:00
-21.69249,121.67088,367.0,140.41,high,2024-01-17 06:22:00
-21.68421,121.70542,331.22,4.32,nominal,2024-01-17 06:22:00
-21.68835,121.68816,343.86,20.36,nominal,2024-01-17 06:22:00
-21.68973,121.6824,341.23,14.88,nominal,2024-01-17 06:22:00
-21.69111,121.67662,339.14,14.88,nominal,2024-01-17 06:22:00
-21.69524,121.65941,333.48,75.05,nominal,2024-01-17 06:22:00
-22.69328,117.20764,350.66,267.54,nominal,2024-01-17 06:22:00
-21.69386,121.66515,207.38,140.41,low,2024-01-17 06:22:00
-21.68474,121.67487,367.0,38.66,high,2024-01-17 06:22:00
-21.68612,121.6691,349.46,95.03,nominal,2024-01-17 06:22:00
-22.68723,117.2123,346.83,22.79,nominal,2024-01-17 06:22:00
-21.677,121.67883,367.0,38.66,high,2024-01-17 06:22:00
-21.67838,121.67307,367.0,38.66,high,2024-01-17 06:22:00
-21.67562,121.68457,338.6,24.06,nominal,2024-01-17 06:22:00
-21.59774,121.8933,367.0,22.5,high,2024-01-17 06:22:00
-21.59128,121.89152,356.67,8.42,nominal,2024-01-17 06:22:00
-21.59272,121.88561,340.91,8.42,nominal,2024-01-17 06:22:00
-22.50363,117.22601,347.96,68.23,nominal,2024-01-17 06:22:00
-22.4988,117.22471,349.6,68.23,nominal,2024-01-17 06:22:00
